Washington Post,good and mad,rebecca traister,
Washington Post,library book,susan orlean,
Washington Post,line becomes a river,francisco cantu,
Washington Post,maze,gregory blake smith,
Washington Post,on desperate ground,hampton sides,
Washington Post,one person no vote,carol anderson,
Washington Post,overstory,richard powers,
Washington Post,place for us,fatima farheen mirza,
Washington Post,there there,tommy orange,
Washington Post,washington black,esi edugyan,
Publishers Weekly,asymmetry,lisa halliday,
Publishers Weekly,educated,tara westover,
Publishers Weekly,heavy,kiese laymon,
Publishers Weekly,how to write an autobiographical novel,alexander chee,
Publishers Weekly,insurrecto,gina apostol,
Publishers Weekly,largesse of the sea maiden,denis johnson,
Publishers Weekly,melmoth,sarah perry,
Publishers Weekly,reagan,bob spitz,
Publishers Weekly,shape of the ruins,juan gabriel vasquez,
Publishers Weekly,she has her mothers laugh,carl zimmer,
Time,overstory,richard powers,10
Time,florida,lauren groff,9
Time,gun love,jennifer clement,8
Time,there there,tommy orange,7
Time,washington black,esi edugyan,6
Time,circe,madeline miller,5
Time,my year of rest and relaxation,ottesa moshfegh,4
Time,american marriage,tayari jones,3
Time,asymmetry,lisa halliday,2
Time,mars room,rachel kushner,1
Time,how democracies die,steven levitsky; daniel ziblatt,10
Time,ninth street women,mary gabriel,9
Time,all you can ever know,nicole chung,8
Time,frederick douglass,david w blight,7
Time,these truths,jill lepore,6
Time,how to write an autobiographical novel,alexander chee,5
Time,order of time,carlo rovelli,4
Time,educated,tara westover,3
Time,barracoon,zora neale hurston,2
Time,bad blood,john carreyrou,1
Amazon,educated,tara westover,1
Amazon,washington black,esi edugyan,2
Amazon,indianapolis,lynn vincent; sara vladic,3
Amazon,elevation,stephen king,4
Amazon,line becomes a river,francisco cantu,5
Amazon,woman in the window,a j finn,6
Amazon,once upon a river,dianne setterfield,7
Amazon,children of blood and bone,tomi adeyemi,8
Amazon,virgil wander,leif enger,9
Amazon,there there,tommy orange,10
Amazon,great alone,kristin hannah,11
Amazon,dopesick,beth macy,12
Amazon,wolves of eden,kevin mccarthy,13
Amazon,my year of rest and relaxation,ottesa moshfegh,14
Amazon,frederick douglass,david w blight,15
Amazon,21 lessons for the 21st century,yuval noah harari,16
Amazon,witch elm,tana french,17
Amazon,girl burn brighter,shobha rao,18
Amazon,tattooist of auschwitz,heather morris,19
Amazon,bad blood,john carreyrou,20
National Book Awards,friend,sigrid nunez,1
National Book Awards,lucky man,jamel brinkley,2
National Book Awards,florida,lauren groff,2
National Book Awards,where the dead sit talking,brandon hobson,2
National Book Awards,great believers,rebecca makkai,2
National Book Awards,new negro,jeffrey c stewart,1
National Book Awards,indian world of george washington,colin g calloway,2
National Book Awards,american eden,victoria johnson,2
National Book Awards,heartland,sarah smarsh,2
National Book Awards,we the corporations,adam winkler,2
National Book Awards,indecency,justin phillip reed,1
